guid,title,pubDate,description,link,media
https://www.hindustantimes.com/india-news/up-s-deputy-cm-keshav-prasad-maurya-surrenders-before-court-in-poll-code-violation-case/story-Iq0yi0Q850sqfHPv6MibOJ.html,UP deputy CM Keshav Prasad Maurya surrenders before court in poll code violation...,"Fri, 16 Nov 2018 08:21:37 GMT ",Keshav Prasad Maurya  will move a bail application which will be heard shortly.,https://www.hindustantimes.com/india-news/up-s-deputy-cm-keshav-prasad-maurya-surrenders-before-court-in-poll-code-violation-case/story-Iq0yi0Q850sqfHPv6MibOJ.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/16/Pictures/_159252aa-e978-11e8-9800-40e053fa8e14.jpeg
https://www.hindustantimes.com/india-news/cyclone-gaja-claims-2-lives-in-tamil-nadu-s-cuddalore/story-W7bsbwDVMv1k6eKojo8W8O.html,20 killed in cyclonic storm Gaja; massive damage in Nagapattinam,"Fri, 16 Nov 2018 08:19:19 GMT ","The cyclone has caused extensive damage in southern India’s coastal region after more than 80.000 residents were evacuated. People living in low-lying areas had been moved into more than 470 relief centers in six districts, and fishermen were warned to stay away from the sea.",https://www.hindustantimes.com/india-news/cyclone-gaja-claims-2-lives-in-tamil-nadu-s-cuddalore/story-W7bsbwDVMv1k6eKojo8W8O.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/16/Pictures/cyclone-gaja-in-chennai_3b096280-e964-11e8-9b97-bd22f81a225c.jpg
https://www.hindustantimes.com/hollywood/fantastic-beasts-the-crimes-of-grindelwald-movie-review-the-worst-film-in-the-harry-potter-series-blame-jk-rowling/story-qnwhiFNQ7PLLe4xeKiIHdO.html,Fantastic Beasts The Crimes of Grindelwald movie review: The worst film in the Harry...,"Fri, 16 Nov 2018 08:09:36 GMT ",Fantastic Beasts The Crimes of Grindelwald movie review: JK Rowling’s annoying streak of making irreparable changes to her Harry Potter series breaks all limits of decency. Rating: 2/5.,https://www.hindustantimes.com/hollywood/fantastic-beasts-the-crimes-of-grindelwald-movie-review-the-worst-film-in-the-harry-potter-series-blame-jk-rowling/story-qnwhiFNQ7PLLe4xeKiIHdO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/16/Pictures/_94ef4ed0-e951-11e8-9800-40e053fa8e14.PNG
https://www.hindustantimes.com/bollywood/pihu-movie-review-beware-of-this-silly-sadistic-baby-hating-movie/story-EkOe754fFNiGRJwA3FpYmM.html,"Pihu movie review: Beware of this silly, sadistic baby-hating movie","Fri, 16 Nov 2018 08:06:26 GMT ","Pihu movie review: Director Vinod Kapri’s film is a silly, sadistic and torturous experience. Beware. Rating: 1.5/5.",https://www.hindustantimes.com/bollywood/pihu-movie-review-beware-of-this-silly-sadistic-baby-hating-movie/story-EkOe754fFNiGRJwA3FpYmM.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/16/Pictures/_1ea72bf8-e956-11e8-9800-40e053fa8e14.PNG
https://www.hindustantimes.com/tech/xiaomi-redmi-note-5-pro-mi-a2-redmi-y2-get-permanent-price-cut-in-india/story-yTgW2Nab9YoG29zwumgq3L.html,"Xiaomi Redmi Note 5 Pro, Mi A2, Redmi Y2 get permanent price cut in India","Fri, 16 Nov 2018 07:05:57 GMT ","Xiaomi Redmi Note 5 Pro, Mi A2 and Redmi Y2 (4GB and 64GB) get cheaper in India by Rs 1,000. Here’s everything you need to know.",https://www.hindustantimes.com/tech/xiaomi-redmi-note-5-pro-mi-a2-redmi-y2-get-permanent-price-cut-in-india/story-yTgW2Nab9YoG29zwumgq3L.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/16/Pictures/_1a8a928c-e96d-11e8-9b97-bd22f81a225c.jpg
https://www.hindustantimes.com/india-news/supreme-court-to-consider-cvc-s-probe-report-on-cbi-s-alok-verma-on-friday/story-KxdUuQHG82Al6y4OZYdE6I.html,"Vigilance report against CBI chief Alok Verma gave mixed findings, says SC","Fri, 16 Nov 2018 06:59:44 GMT ","The Supreme Court, in its October 31 order, had directed the CVC to probe corruption charges against Verma under the supervision of retired Supreme Court judge AK Patnaik, and submit its report in two weeks. The commission, however, submitted the report a day late on November 16.",https://www.hindustantimes.com/india-news/supreme-court-to-consider-cvc-s-probe-report-on-cbi-s-alok-verma-on-friday/story-KxdUuQHG82Al6y4OZYdE6I.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/16/Pictures/pti10-23-2018-000081b_f3b4de66-e95c-11e8-9b97-bd22f81a225c.jpg
https://www.hindustantimes.com/analysis/censoring-online-content-is-not-easy-any-more/story-6zp6SLBDcY99xMWApLI6mI.html,Censoring online content is not easy any more,"Fri, 16 Nov 2018 06:07:34 GMT ","But the danger of allowing ingress to nationally critical sectors, like telecommunications, to countries that are not friendly must now be a matter of immediate national concern",https://www.hindustantimes.com/analysis/censoring-online-content-is-not-easy-any-more/story-6zp6SLBDcY99xMWApLI6mI.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/16/Pictures/files-india-crime-internet_5955c624-e965-11e8-9b97-bd22f81a225c.jpg
https://www.hindustantimes.com/cricket/icc-women-s-world-t20-mithali-raj-breaks-multiple-records-against-ireland/story-gu1OIeErILGLQoNGn2fvqK.html,ICC&thinsp;Women's World T20:&thinsp;Mithali Raj now has more T20I&thinsp;runs than any male cricket...,"Fri, 16 Nov 2018 04:18:54 GMT ","Mithali surpassed New Zealand’s Martin Guptill, who is the highest T20I run-scorer among men’s cricketers during the ICC Women’s World T20 match against Ireland.",https://www.hindustantimes.com/cricket/icc-women-s-world-t20-mithali-raj-breaks-multiple-records-against-ireland/story-gu1OIeErILGLQoNGn2fvqK.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/16/Pictures/mithali-raj_ca9d26ee-e94f-11e8-a696-ab1a80e4d2e8.jpg
https://www.hindustantimes.com/delhi-news/he-left-after-a-fight-mother-of-tailor-accused-of-killing-delhi-designer/story-AiFT1R6tQTyWTMIC3z784H.html,He left after a fight: Mother of tailor accused of killing Delhi designer,"Fri, 16 Nov 2018 03:13:41 GMT ","Around 11 am, a neighbour came to our house and said Anwar had been arrested, Anjum Begum, the mother of accused, said. ",https://www.hindustantimes.com/delhi-news/he-left-after-a-fight-mother-of-tailor-accused-of-killing-delhi-designer/story-AiFT1R6tQTyWTMIC3z784H.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/16/Pictures/_8e913340-e94d-11e8-9800-40e053fa8e14.jpg
https://www.hindustantimes.com/tv/mirzapur-review-even-pankaj-tripathi-can-t-save-amazon-s-anurag-kashyap-rip-off/story-8eJY3ct2mrUUKYZ9IL74yL.html,Mirzapur review: Even Pankaj Tripathi can't save Amazon's Anurag Kashyap rip-off,"Fri, 16 Nov 2018 03:04:33 GMT ","Mirzapur review: Despite a dependably brilliant Pankaj Tripathi, Amazon’s Anurag Kashyap rip-off has the maturity of an ill-mannered teen - loud, obnoxious and aimless. Rating: 2/5.",https://www.hindustantimes.com/tv/mirzapur-review-even-pankaj-tripathi-can-t-save-amazon-s-anurag-kashyap-rip-off/story-8eJY3ct2mrUUKYZ9IL74yL.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/15/Pictures/_282a79f8-e8c2-11e8-9800-40e053fa8e14.jpg
https://www.hindustantimes.com/tv/narcos-mexico-review-season-4-of-terrific-netflix-show-takes-dark-knight-sacred-games-approach/story-O7JnBMRyRjcxF1AwtH2X6N.html,"Narcos Mexico review: Season 4 of terrific Netflix show takes Dark Knight, Sacred...","Fri, 16 Nov 2018 02:59:34 GMT ","Narcos Mexico review: New season of Netflix’s flagship show successfully avoids resting on Pablo Escobar’s shoulders for a new story, new characters, and a new war. The blow must go on. Rating: 4/5.",https://www.hindustantimes.com/tv/narcos-mexico-review-season-4-of-terrific-netflix-show-takes-dark-knight-sacred-games-approach/story-O7JnBMRyRjcxF1AwtH2X6N.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/15/Pictures/_8f9ce204-e8c4-11e8-9800-40e053fa8e14.jpg
https://www.hindustantimes.com/india-news/congress-poll-secret-a-portal-with-ear-to-ground/story-ogOXCX1mBuXsTd7rAG3KVJ.html,Congress' poll secret? A portal with ear to ground,"Fri, 16 Nov 2018 02:13:45 GMT ","Allowing Rahul Gandhi to do this is a software the Congress president has named Vidya, a nod to the data-enriched knowledge that can be pulled out from it.",https://www.hindustantimes.com/india-news/congress-poll-secret-a-portal-with-ear-to-ground/story-ogOXCX1mBuXsTd7rAG3KVJ.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/15/Pictures/rahul-gandhi-in-chhattisgarh_07d363dc-e8fd-11e8-a696-ab1a80e4d2e8.jpg
https://www.hindustantimes.com/editorials/state-legislatures-must-ensure-longer-and-more-produtive-sessions/story-Kd8tDTKWcM1CIwDqyqThmM.html,State legislatures must ensure longer and more productive sessions,"Thu, 15 Nov 2018 01:43:41 GMT ",It has often been suggested that perks and privileges be tied to work as in the corporate sector. This may help things but it would also help if parties also put pressure on their MLAs to do their job if for nothing but to increase the prospects of re-election,https://www.hindustantimes.com/editorials/state-legislatures-must-ensure-longer-and-more-produtive-sessions/story-Kd8tDTKWcM1CIwDqyqThmM.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/14/Pictures/budget-day_ac2ea8d4-e807-11e8-9800-40e053fa8e14.jpg
https://www.hindustantimes.com/analysis/china-s-muscle-has-forced-india-to-rethink-its-maritime-strategy/story-CLxNoBAbvvO7qgGYF7wydN.html,China's muscle has forced India to rethink its maritime strategy,"Thu, 15 Nov 2018 01:08:27 GMT ",China’s increasing encroachments into India’s maritime neighbourhood will likely keep this region insecure and heighten uncertainty,https://www.hindustantimes.com/analysis/china-s-muscle-has-forced-india-to-rethink-its-maritime-strategy/story-CLxNoBAbvvO7qgGYF7wydN.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/14/Pictures/mohamed-nasheed-ibrahim-mohamed-solih_81055818-e7dc-11e8-a696-ab1a80e4d2e8.jpg
https://www.hindustantimes.com/analysis/energy-the-secret-sauce-of-successful-politicians/story-YwYKiQuHJKrFAbJfgAZbXI.html,"Energy, the secret sauce of successful politicians","Wed, 14 Nov 2018 01:36:11 GMT ",The schedule of top political leaders is the kind of schedule that the CEOs of some large corporations are known to keep – with one difference. They have a weekend.,https://www.hindustantimes.com/analysis/energy-the-secret-sauce-of-successful-politicians/story-YwYKiQuHJKrFAbJfgAZbXI.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/09/Pictures/prime-minister-narendra-modi-in-jagdalpur_65ccafc4-e43f-11e8-a684-a3b63261dee4.jpg
